OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-2618,2021-044BH,2026-04-23T00:24:42.857280,15.31712971,.00010206,53.1576,229.2125,61.6981,298.4123,0,U,48693,999,27115,.8208272E-4,.2184E-4,0
STARLINK-2748,2021-044BJ,2026-04-22T14:48:10.033920,15.31716911,.0001264,53.1598,234.3247,87.7492,272.3654,0,U,48694,999,27104,.28135E-3,.838E-4,0
STARLINK-2616,2021-044BK,2026-04-22T15:01:56.009280,15.31719748,.0001195,53.1601,233.5901,93.3555,266.7583,0,U,48695,999,27106,.16272E-3,.4691E-4,0
STARLINK-2753,2021-044BL,2026-04-23T08:00:01.999872,15.31693275,.00007416,53.1582,241.0971,72.1681,317.8900,0,U,48696,999,587,.11766511E-2,.36318E-3,0
STARLINK-3004,2021-059B,2026-04-23T08:00:01.999872,15.31332130,.0001221,97.6593,239.7476,78.3437,136.4316,0,U,48880,999,563,.3648788E-1,.1199655E-1,0
STARLINK-3005,2021-059C,2026-04-23T06:32:36.515040,15.01258020,.00018489,97.6587,239.2200,89.3114,270.8322,0,U,48881,999,26549,-.8772096E-5,-.172E-5,0
STARLINK-3096,2021-082B,2026-04-23T08:00:01.999872,15.81973010,.00038836,69.9994,130.2548,279.1402,276.0908,0,U,49131,999,592,.52131945E-2,.1194034E-1,0
STARLINK-3090,2021-082C,2026-04-23T05:37:41.251872,14.98330023,.00034324,70.0003,182.0154,271.4319,88.6447,0,U,49132,999,25265,-.20691901E-4,-.34E-5,0
STARLINK-3077,2021-082D,2026-04-23T04:25:35.957280,14.98329999,.00034701,70.0002,182.2682,269.8640,90.2122,0,U,49133,999,25264,-.7968646E-5,-.188E-5,0
STARLINK-3078,2021-082E,2026-04-23T04:19:35.594112,14.98332457,.00035455,70.0007,182.2810,270.8305,89.2448,0,U,49134,999,25384,-.83348649E-4,-.1088E-4,0
STARLINK-3073,2021-082F,2026-04-23T02:00:43.731072,14.98329688,.00033959,70.0010,142.5039,267.9648,92.1122,0,U,49135,999,25362,.62126642E-4,.648E-5,0
STARLINK-3055,2021-082H,2026-04-23T05:36:15.229440,14.97526271,.00027312,69.9997,163.0735,273.0207,87.0640,0,U,49137,999,25312,-.80207694E-4,-.1029E-4,0
STARLINK-3058,2021-082J,2026-04-23T07:25:51.129984,14.98329713,.00034553,70.0000,181.9595,269.6162,90.4601,0,U,49138,999,25266,-.24269024E-4,-.383E-5,0
STARLINK-3057,2021-082K,2026-04-23T01:48:43.811712,14.98311718,.00031621,70.0005,142.5309,274.3483,85.7315,0,U,49139,999,25361,.34460035E-3,.4019E-4,0
STARLINK-3093,2021-082M,2026-04-23T04:07:34.412448,14.98329882,.00035913,70.0001,182.3105,266.9644,93.1104,0,U,49141,999,25384,.299258E-5,-.57E-6,0
STARLINK-3109,2021-082P,2026-04-23T05:30:24.835968,14.97525128,.00031469,70.0009,163.0851,266.9359,93.1440,0,U,49143,999,25423,.47246117E-4,.46E-5,0
STARLINK-3100,2021-082Q,2026-04-23T05:31:41.429568,14.98329578,.00035932,70.0006,182.1423,269.4310,90.6438,0,U,49144,999,25265,-.12027381E-4,-.237E-5,0
STARLINK-3119,2021-082R,2026-04-23T02:42:47.957184,14.98336299,.00030674,70.0031,142.4354,270.3015,89.7792,0,U,49145,999,25361,-.85114482E-4,-.1109E-4,0
STARLINK-3116,2021-082S,2026-04-22T11:46:21.398016,14.97523077,.0003538,70.0012,164.9504,260.8982,99.1777,0,U,49146,999,25416,-.1136E-3,-.142E-4,0
STARLINK-3071,2021-082T,2026-04-23T03:00:47.621088,14.98434234,.00037984,70.0027,142.4202,273.9491,86.1234,0,U,49147,999,25362,-.11473136E-2,-.13794E-3,0
STARLINK-3048,2021-082U,2026-04-23T03:36:11.291616,14.97529297,.00035404,69.9995,163.2690,265.4263,94.6491,0,U,49148,999,25310,.37670689E-4,.348E-5,0
STARLINK-3102,2021-082X,2026-04-23T07:19:10.633152,14.98330064,.00035879,69.9989,141.9589,268.2399,91.8349,0,U,49151,999,25484,.36045422E-4,.337E-5,0
STARLINK-3072,2021-082Z,2026-04-23T05:31:01.780608,14.98328647,.00035077,69.9986,142.1547,268.6927,91.3830,0,U,49153,999,25484,.39815142E-4,.382E-5,0
STARLINK-3068,2021-082AA,2026-04-23T03:30:10.943136,14.97521315,.00036048,69.9995,163.2832,269.3918,90.6827,0,U,49154,999,25418,.5565543E-4,.558E-5,0
STARLINK-3060,2021-082AB,2026-04-23T05:25:00.680448,14.98329818,.00038058,69.9983,142.1573,264.3610,95.7115,0,U,49155,999,25471,.50732266E-4,.512E-5,0
STARLINK-3085,2021-082AC,2026-04-23T06:31:06.728160,14.98333953,.0003634,69.9988,142.0419,267.6278,92.4465,0,U,49156,999,25472,-.48161648E-4,-.668E-5,0
STARLINK-3051,2021-082AD,2026-04-23T01:53:20.295168,15.04976574,.00052901,69.9976,158.7109,228.4141,131.6568,0,U,49157,999,25431,.25873998E-3,.358E-4,0
STARLINK-3083,2021-082AE,2026-04-22T22:15:16.197120,15.69617424,.0003471,69.9658,49.5229,204.2055,155.8977,0,U,49158,999,25698,.4022E-3,.47814E-3,0
STARLINK-3056,2021-082AF,2026-04-23T03:37:31.918368,14.98331361,.00032982,70.0003,182.3523,269.9102,90.1679,0,U,49159,999,25373,-.24402301E-4,-.384E-5,0
STARLINK-3095,2021-082AG,2026-04-23T06:31:47.648928,14.98334396,.00034331,69.9986,182.0269,262.9354,97.1415,0,U,49160,999,25372,.62477105E-4,.653E-5,0
STARLINK-3080,2021-082AH,2026-04-23T06:37:46.783488,14.98330978,.00039007,69.9999,182.0157,266.9277,93.1436,0,U,49161,999,25373,.47303624E-4,.471E-5,0
STARLINK-3088,2021-082AK,2026-04-23T06:24:30.986784,14.97520923,.00035875,69.9996,162.9894,269.5198,90.5550,0,U,49163,999,25428,.25005747E-4,.2E-5,0
