episode,source,target
495,IRIDIUM 129,IRIDIUM 152
496,IRIDIUM 100,IRIDIUM 103
497,IRIDIUM 157,IRIDIUM 141
498,IRIDIUM 160,IRIDIUM 156
499,IRIDIUM 112,IRIDIUM 143
500,IRIDIUM 134,IRIDIUM 112
501,IRIDIUM 160,IRIDIUM 156
502,IRIDIUM 144,IRIDIUM 152
503,IRIDIUM 135,IRIDIUM 152
504,IRIDIUM 103,IRIDIUM 150
505,IRIDIUM 103,IRIDIUM 150
506,IRIDIUM 144,IRIDIUM 152
507,IRIDIUM 134,IRIDIUM 112
508,IRIDIUM 150,IRIDIUM 149
509,IRIDIUM 132,IRIDIUM 150
510,IRIDIUM 112,IRIDIUM 143
511,IRIDIUM 144,IRIDIUM 152
512,IRIDIUM 135,IRIDIUM 152
513,IRIDIUM 112,IRIDIUM 143
514,IRIDIUM 167,IRIDIUM 152
515,IRIDIUM 144,IRIDIUM 152
516,IRIDIUM 157,IRIDIUM 143
517,IRIDIUM 144,IRIDIUM 152
518,IRIDIUM 102,IRIDIUM 141
519,IRIDIUM 160,IRIDIUM 156
520,IRIDIUM 152,IRIDIUM 100
521,IRIDIUM 109,IRIDIUM 152
522,IRIDIUM 132,IRIDIUM 150
523,IRIDIUM 134,IRIDIUM 112
524,IRIDIUM 160,IRIDIUM 156
525,IRIDIUM 157,IRIDIUM 143
526,IRIDIUM 120,IRIDIUM 150
527,IRIDIUM 109,IRIDIUM 152
528,IRIDIUM 102,IRIDIUM 141
529,IRIDIUM 160,IRIDIUM 156
530,IRIDIUM 150,IRIDIUM 149
531,IRIDIUM 100,IRIDIUM 103
532,IRIDIUM 111,IRIDIUM 112
533,IRIDIUM 157,IRIDIUM 141
534,IRIDIUM 100,IRIDIUM 103
535,IRIDIUM 111,IRIDIUM 112
536,IRIDIUM 167,IRIDIUM 152
537,IRIDIUM 135,IRIDIUM 152
538,IRIDIUM 102,IRIDIUM 141
539,IRIDIUM 157,IRIDIUM 141
540,IRIDIUM 135,IRIDIUM 152
541,IRIDIUM 150,IRIDIUM 149
542,IRIDIUM 120,IRIDIUM 150
543,IRIDIUM 132,IRIDIUM 150
544,IRIDIUM 102,IRIDIUM 141
545,IRIDIUM 109,IRIDIUM 152
546,IRIDIUM 152,IRIDIUM 100
547,IRIDIUM 129,IRIDIUM 152
548,IRIDIUM 120,IRIDIUM 150
549,IRIDIUM 135,IRIDIUM 152
550,IRIDIUM 100,IRIDIUM 103
551,IRIDIUM 152,IRIDIUM 100
552,IRIDIUM 102,IRIDIUM 141
553,IRIDIUM 131,IRIDIUM 141
554,IRIDIUM 100,IRIDIUM 103
555,IRIDIUM 111,IRIDIUM 112
556,IRIDIUM 111,IRIDIUM 112
557,IRIDIUM 102,IRIDIUM 141
558,IRIDIUM 160,IRIDIUM 156
559,IRIDIUM 160,IRIDIUM 156
560,IRIDIUM 103,IRIDIUM 150
561,IRIDIUM 144,IRIDIUM 152
562,IRIDIUM 152,IRIDIUM 100
563,IRIDIUM 150,IRIDIUM 149
564,IRIDIUM 100,IRIDIUM 103
565,IRIDIUM 112,IRIDIUM 143
566,IRIDIUM 129,IRIDIUM 152
567,IRIDIUM 135,IRIDIUM 152
568,IRIDIUM 120,IRIDIUM 150
569,IRIDIUM 167,IRIDIUM 152
570,IRIDIUM 134,IRIDIUM 112
571,IRIDIUM 150,IRIDIUM 149
572,IRIDIUM 152,IRIDIUM 100
573,IRIDIUM 109,IRIDIUM 152
574,IRIDIUM 103,IRIDIUM 150
575,IRIDIUM 150,IRIDIUM 149
576,IRIDIUM 100,IRIDIUM 103
577,IRIDIUM 132,IRIDIUM 152
578,IRIDIUM 132,IRIDIUM 152
579,IRIDIUM 135,IRIDIUM 152
580,IRIDIUM 167,IRIDIUM 152
581,IRIDIUM 132,IRIDIUM 152
582,IRIDIUM 132,IRIDIUM 152
583,IRIDIUM 157,IRIDIUM 141
584,IRIDIUM 129,IRIDIUM 152
585,IRIDIUM 134,IRIDIUM 112
586,IRIDIUM 109,IRIDIUM 152
587,IRIDIUM 131,IRIDIUM 141
588,IRIDIUM 135,IRIDIUM 152
589,IRIDIUM 129,IRIDIUM 152
590,IRIDIUM 160,IRIDIUM 156
591,IRIDIUM 167,IRIDIUM 152
592,IRIDIUM 103,IRIDIUM 150
593,IRIDIUM 131,IRIDIUM 141
594,IRIDIUM 144,IRIDIUM 152
595,IRIDIUM 157,IRIDIUM 141
596,IRIDIUM 157,IRIDIUM 143
597,IRIDIUM 102,IRIDIUM 141
598,IRIDIUM 102,IRIDIUM 141
599,IRIDIUM 111,IRIDIUM 112
600,IRIDIUM 111,IRIDIUM 112
601,IRIDIUM 109,IRIDIUM 152
602,IRIDIUM 135,IRIDIUM 152
603,IRIDIUM 167,IRIDIUM 152
604,IRIDIUM 132,IRIDIUM 152
605,IRIDIUM 131,IRIDIUM 141
606,IRIDIUM 167,IRIDIUM 152
607,IRIDIUM 131,IRIDIUM 141
608,IRIDIUM 129,IRIDIUM 152
609,IRIDIUM 129,IRIDIUM 152
610,IRIDIUM 102,IRIDIUM 141
611,IRIDIUM 157,IRIDIUM 143
612,IRIDIUM 150,IRIDIUM 149
613,IRIDIUM 129,IRIDIUM 152
614,IRIDIUM 102,IRIDIUM 141
615,IRIDIUM 144,IRIDIUM 152
616,IRIDIUM 102,IRIDIUM 141
617,IRIDIUM 157,IRIDIUM 141
618,IRIDIUM 131,IRIDIUM 141
619,IRIDIUM 109,IRIDIUM 152
620,IRIDIUM 129,IRIDIUM 152
621,IRIDIUM 131,IRIDIUM 141
622,IRIDIUM 103,IRIDIUM 150
623,IRIDIUM 109,IRIDIUM 152
624,IRIDIUM 132,IRIDIUM 152
625,IRIDIUM 131,IRIDIUM 141
626,IRIDIUM 167,IRIDIUM 152
627,IRIDIUM 120,IRIDIUM 150
628,IRIDIUM 129,IRIDIUM 152
629,IRIDIUM 100,IRIDIUM 103
630,IRIDIUM 152,IRIDIUM 100
631,IRIDIUM 135,IRIDIUM 152
632,IRIDIUM 120,IRIDIUM 150
633,IRIDIUM 152,IRIDIUM 100
634,IRIDIUM 150,IRIDIUM 149
635,IRIDIUM 120,IRIDIUM 150
